Common Name,Family,GenusSpecies,Genus,Category,Wmax,Ymax,Lmax,Lengthmax type,Ym,Lm,Favg,Loffspring,,,,,,,,,,,Region,Sources
Mackerel icefish,Channichthyidae,Champsocephalus gunnari,Champsocephalus,Teleostei,2000,NA,66,TL,4,23.625,8435.151099,1.36500001,,,,,,,,,,,,
Milkfish,Chanidae,Chanos chanos,Chanos,Teleostei,14000,15,180,SL,4.333333333,68,1070833.333,0.4,,,,,,,,,,,,
Ocellated icefish,Channichthyidae,Chionodraco rastrospinosus,Chionodraco,Teleostei,499.2000122,NA,52,TL,NA,NA,3321,2.25,,,,,,,,,,,,
Dogtooth herring,Pristigasteridae,Chirocentrodon bleekerianus,Chirocentrodon,Teleostei,19.29999924,NA,16.10000038,TL,NA,NA,NA,NA,,,,,,,,,,,,
Whitefin wolf-herring,Chirocentridae,Chirocentrus nudus,Chirocentrus,Teleostei,410,NA,100,SL,NA,NA,NA,NA,,,,,,,,,,,,
Atlantic herring,Clupeidae,Clupea harengus,Clupea,Teleostei,1050,25,45,SL,2.555555556,21.41999998,43052.24621,0.63499999,,,,,,,,,,,,
Amur whitefish,Salmonidae,Coregonus ussuriensis,Coregonus,Teleostei,2100,10,60,TL,5,NA,33300,NA,,,,,,,,,,,,
Lumpfish,Cyclopteridae,Cyclopterus lumpus,Cyclopterus,Teleostei,9500,13,61,TL,3.25,NA,97827,0.5,,,,,,,,,,,,
Indian scad,Carangidae,Decapterus russelli,Decapterus,Teleostei,110,12,45,TL,NA,15,45097.75,NA,,,,,,,,,,,,
Patagonian toothfish,Nototheniidae,Dissostichus eleginoides,Dissostichus,Teleostei,9600,31,215,TL,6,38,391989.5,1.4,,,,,,,,,,,,
Antarctic toothfish,Nototheniidae,Dissostichus mawsoni,Dissostichus,Teleostei,80000,39,200,TL,9.300000191,NA,907640,NA,,,,,,,,,,,,
Common dolphinfish,Coryphaenidae,Coryphaena hippurus,Coryphaena,Teleostei,40000,4,210,TL,0.401666671,43.1,350746,0.395000005,,,,,,,,,,,,
Roundnose grenadier,Macrouridae,Coryphaenoides rupestris,Coryphaenoides,Teleostei,1690,54,110,TL,9,50,28756.52679,NA,,,,,,,,,,,,
Shadow driftfish,Nomeidae,Cubiceps whiteleggii,Cubiceps,Teleostei,110,NA,21,SL,NA,NA,NA,NA,,,,,,,,,,,,
Pink dentex,Sparidae,Dentex gibbosus,Dentex,Teleostei,16420,NA,106,FL,NA,NA,NA,NA,,,,,,,,,,,,
Golden mojarra,Gerreidae,Deckertichthys aureolus,Deckertichthys,Teleostei,53,NA,15,SL,NA,NA,NA,NA,,,,,,,,,,,,
Common dentex,Sparidae,Dentex dentex,Dentex,Teleostei,14250,NA,100,TL,2,NA,NA,0.379999995,,,,,,,,,,,,
Annular seabream,Sparidae,Diplodus annularis,Diplodus,Teleostei,330,17,28,TL,1.75,8.239999962,78347.25,NA,,,,,,,,,,,,
Sharpsnout seabream,Sparidae,Diplodus puntazzo,Diplodus,Teleostei,1680,NA,60,TL,NA,NA,484954.5,NA,,,,,,,,,,,,
Common two-banded seabream,Sparidae,Diplodus vulgaris,Diplodus,Teleostei,1300,NA,45,TL,NA,NA,73154,NA,,,,,,,,,,,,
Kawakawa,Scombridae,Euthynnus affinis,Euthynnus,Teleostei,14000,6,100,FL,3,45,434227,NA,,,,,,,,,,,,
Little tunny,Scombridae,Euthynnus alletteratus,Euthynnus,Teleostei,16500,10,122,TL,NA,48.50000064,1135500,NA,,,,,,,,,,,,
Black skipjack,Scombridae,Euthynnus lineatus,Euthynnus,Teleostei,9120,NA,84,FL,NA,NA,NA,NA,,,,,,,,,,,,
Fourfinger threadfin,Polynemidae,Eleutheronema tetradactylum,Eleutheronema,Teleostei,145000,NA,200,TL,NA,25.25,681221,NA,,,,,,,,,,,,
Hawaiian ladyfish,Elopidae,Elops hawaiensis,Elops,Teleostei,10060,NA,120,SL,NA,NA,NA,NA,,,,,,,,,,,,
Tenpounder,Elopidae,Elops machnata,Elops,Teleostei,10800,NA,118,FL,NA,NA,NA,NA,,,,,,,,,,,,
Senegalese ladyfish,Elopidae,Elops senegalensis,Elops,Teleostei,5900,NA,90,TL,NA,NA,NA,NA,,,,,,,,,,,,
Tropical pomfret,Bramidae,Eumegistus brevorti,Eumegistus,Teleostei,3060,NA,61,FL,NA,NA,NA,NA,,,,,,,,,,,,
